,Date,daily increase
3,2020-04-26,0
411,2020-04-27,0
832,2020-04-28,0
1260,2020-04-29,1
1693,2020-04-30,2
2128,2020-05-01,0
2570,2020-05-02,3
3016,2020-05-03,0
3471,2020-05-04,0
3930,2020-05-05,0
4394,2020-05-06,1
4864,2020-05-07,0
5340,2020-05-08,0
5822,2020-05-09,0
6314,2020-05-10,0
6813,2020-05-11,0
7316,2020-05-12,1
7826,2020-05-13,4
8339,2020-05-14,0
8853,2020-05-15,1
9371,2020-05-16,0
9892,2020-05-17,0
10426,2020-05-18,5
10966,2020-05-19,0
11545,2020-05-20,2
12131,2020-05-21,0
12720,2020-05-22,0
13307,2020-05-23,0
13896,2020-05-24,0
14491,2020-05-25,0
15091,2020-05-26,0
15694,2020-05-27,88
16298,2020-05-28,7
16904,2020-05-29,2
17510,2020-05-30,34
18118,2020-05-31,16
18726,2020-06-01,18
19358,2020-06-02,19
19991,2020-06-03,7
20627,2020-06-04,2
21268,2020-06-05,1
21908,2020-06-06,19
22546,2020-06-07,3
23183,2020-06-08,6
23825,2020-06-09,0
24471,2020-06-10,11
25118,2020-06-11,9
25765,2020-06-12,8
26414,2020-06-13,11
27064,2020-06-14,32
27718,2020-06-15,35
28372,2020-06-16,12
29023,2020-06-17,5
29674,2020-06-18,18
30324,2020-06-19,22
30974,2020-06-20,41
31623,2020-06-21,70
32273,2020-06-22,64
32923,2020-06-23,87
33573,2020-06-24,54
34225,2020-06-25,64
34877,2020-06-26,12
35530,2020-06-27,109
36183,2020-06-28,57
36835,2020-06-29,72
37488,2020-06-30,55
38143,2020-07-01,80
38798,2020-07-02,122
39452,2020-07-03,56
40106,2020-07-04,102
40760,2020-07-05,118
41414,2020-07-06,171
42069,2020-07-07,112
42724,2020-07-08,125
43378,2020-07-09,47
44032,2020-07-10,169
44687,2020-07-11,143
45342,2020-07-12,268
45995,2020-07-13,313
46648,2020-07-14,160
47301,2020-07-15,247
47954,2020-07-16,500
48610,2020-07-17,643
49266,2020-07-18,994
49922,2020-07-19,647
50577,2020-07-20,1086
51232,2020-07-21,524
51887,2020-07-22,891
52542,2020-07-23,1391
53197,2020-07-24,1029
53851,2020-07-25,1324
54505,2020-07-26,1095
55159,2020-07-27,1210
55813,2020-07-28,1367
56466,2020-07-29,1676
57119,2020-07-30,1441
57772,2020-07-31,1215
58425,2020-08-01,876
59078,2020-08-02,930
59731,2020-08-03,1113
60383,2020-08-04,1371
61035,2020-08-05,1544
61687,2020-08-06,1351
62339,2020-08-07,1270
62991,2020-08-08,1310
63643,2020-08-09,1543
64295,2020-08-10,1235
64947,2020-08-11,1372
65600,2020-08-12,1332
66253,2020-08-13,1504
66906,2020-08-14,1146
67559,2020-08-15,1126
68212,2020-08-16,875
68865,2020-08-17,911
69518,2020-08-18,1396
70171,2020-08-19,1399
70824,2020-08-20,1357
71477,2020-08-21,1312
72130,2020-08-22,1321
72783,2020-08-23,1256
73436,2020-08-24,1441
74089,2020-08-25,1353
74742,2020-08-26,1528
75395,2020-08-27,1089
76048,2020-08-28,1178
76701,2020-08-29,1096
77354,2020-08-30,1090
78007,2020-08-31,1383
78660,2020-09-01,1208
79313,2020-09-02,1199
79966,2020-09-03,1090
80619,2020-09-04,1405
81272,2020-09-05,1399
81925,2020-09-06,1244
82578,2020-09-07,1312
83232,2020-09-08,1426
83886,2020-09-09,1399
84540,2020-09-10,1412
85194,2020-09-11,1499
85848,2020-09-12,1398
86502,2020-09-13,1414
87156,2020-09-14,1412
87810,2020-09-15,1423
88464,2020-09-16,1421
