,Date,daily recovery
3,2020-04-26,0
411,2020-04-27,0
832,2020-04-28,0
1260,2020-04-29,0
1693,2020-04-30,2
2128,2020-05-01,3
2570,2020-05-02,0
3016,2020-05-03,3
3471,2020-05-04,2
3930,2020-05-05,0
4394,2020-05-06,4
4864,2020-05-07,0
5340,2020-05-08,0
5822,2020-05-09,3
6314,2020-05-10,2
6813,2020-05-11,0
7316,2020-05-12,0
7826,2020-05-13,4
8339,2020-05-14,0
8853,2020-05-15,0
9371,2020-05-16,3
9892,2020-05-17,1
10426,2020-05-18,4
10966,2020-05-19,0
11545,2020-05-20,0
12131,2020-05-21,0
12720,2020-05-22,0
13307,2020-05-23,0
13896,2020-05-24,0
14491,2020-05-25,0
15091,2020-05-26,0
15694,2020-05-27,5
16298,2020-05-28,1
16904,2020-05-29,0
17510,2020-05-30,2
18118,2020-05-31,1
18726,2020-06-01,1
19358,2020-06-02,0
19991,2020-06-03,11
20627,2020-06-04,8
21268,2020-06-05,13
21908,2020-06-06,19
22546,2020-06-07,5
23183,2020-06-08,5
23825,2020-06-09,0
24471,2020-06-10,32
25118,2020-06-11,17
25765,2020-06-12,9
26414,2020-06-13,19
27064,2020-06-14,14
27718,2020-06-15,24
28372,2020-06-16,5
29023,2020-06-17,9
29674,2020-06-18,2
30324,2020-06-19,0
30974,2020-06-20,22
31623,2020-06-21,25
32273,2020-06-22,0
32923,2020-06-23,1
33573,2020-06-24,12
34225,2020-06-25,3
34877,2020-06-26,3
35530,2020-06-27,4
36183,2020-06-28,14
36835,2020-06-29,10
37488,2020-06-30,2
38143,2020-07-01,9
38798,2020-07-02,18
39452,2020-07-03,20
40106,2020-07-04,28
40760,2020-07-05,28
41414,2020-07-06,27
42069,2020-07-07,0
42724,2020-07-08,45
43378,2020-07-09,132
44032,2020-07-10,46
44687,2020-07-11,60
45342,2020-07-12,71
45995,2020-07-13,22
46648,2020-07-14,81
47301,2020-07-15,24
47954,2020-07-16,130
48610,2020-07-17,50
49266,2020-07-18,119
49922,2020-07-19,20
50577,2020-07-20,8
51232,2020-07-21,22
51887,2020-07-22,1496
52542,2020-07-23,359
53197,2020-07-24,227
53851,2020-07-25,300
54505,2020-07-26,640
55159,2020-07-27,536
55813,2020-07-28,589
56466,2020-07-29,247
57119,2020-07-30,409
57772,2020-07-31,465
58425,2020-08-01,6748
59078,2020-08-02,209
59731,2020-08-03,201
60383,2020-08-04,212
61035,2020-08-05,485
61687,2020-08-06,368
62339,2020-08-07,906
62991,2020-08-08,450
63643,2020-08-09,1299
64295,2020-08-10,1024
64947,2020-08-11,1354
65600,2020-08-12,295
66253,2020-08-13,906
66906,2020-08-14,1234
67559,2020-08-15,1493
68212,2020-08-16,1369
68865,2020-08-17,927
69518,2020-08-18,1007
70171,2020-08-19,881
70824,2020-08-20,1051
71477,2020-08-21,1000
72130,2020-08-22,972
72783,2020-08-23,731
73436,2020-08-24,1120
74089,2020-08-25,1135
74742,2020-08-26,1618
75395,2020-08-27,912
76048,2020-08-28,670
76701,2020-08-29,1279
77354,2020-08-30,768
78007,2020-08-31,1050
78660,2020-09-01,1043
79313,2020-09-02,1005
79966,2020-09-03,1321
80619,2020-09-04,3463
81272,2020-09-05,2414
81925,2020-09-06,2578
82578,2020-09-07,1822
83232,2020-09-08,1801
83886,2020-09-09,1807
84540,2020-09-10,1795
85194,2020-09-11,1516
85848,2020-09-12,1842
86502,2020-09-13,1606
87156,2020-09-14,1484
87810,2020-09-15,1440
88464,2020-09-16,1381
89118,2020-09-17,1378
